rights_id,publisher,source_url,product_ids,review_status,default_release,licence_or_terms_url,verified_permissions,excluded_assets,attribution,reviewed_on
RIGHTS-01,Electoral Commission,https://electionresults.govt.nz/electionresults_2023/,P08;P09,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-02,Electoral Commission,https://elections.nz/democracy-in-nz/candidates/candidate-expenses-and-donations/,P15,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-03,Electoral Commission,https://elections.nz/democracy-in-nz/historical-events/2023-general-election/,P04,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-04,Electoral Commission,https://elections.nz/democracy-in-nz/political-parties-in-new-zealand/party-donations-and-loans-by-year/,P16;P17,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-05,Health New Zealand,https://www.tewhatuora.govt.nz/for-health-professionals/data-and-statistics/,P11,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-06,Ministry of Social Development,https://www.msd.govt.nz/about-msd-and-our-work/publications-resources/statistics/,P12,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-07,Multiple poll publishers,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_New_Zealand_general_election,P14,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-08,New Zealand Government / Beehive,https://www.beehive.govt.nz/releases,P01,pending,link-only,,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-09,New Zealand Parliament,https://www.parliament.nz/en/pb/bills-and-laws/bills-proposed-laws/,P02;P03,pending,link-only,https://www3.parliament.nz/en/footer/copyright/,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
RIGHTS-10,New Zealand Parliament,https://www.parliament.nz/en/pb/order-paper-questions/written-questions/,P24,pending,link-only,https://www3.parliament.nz/en/footer/copyright/,Not verified; release restricted to catalogue metadata and source links pending rights review,"original PDFs, copied articles, full policy text, page captures and personal addresses",Publisher name and primary source URL,
