product_id,title,publisher,domain,source_url,snapshot_at_utc,record_count,evidence_forms,observed_start_utc,observed_end_utc,coverage_window,release_mode,rights_status,known_limitations
P01,Beehive releases,New Zealand Government / Beehive,Government statements,https://www.beehive.govt.nz/releases,2026-09-19T19:12:17.178902Z,4735,source body / document record=4735,2026-09-19T09:26:42.000Z,2026-09-19T16:17:15.000Z,Releases dated 2023-11-29 through snapshot date,metadata-and-links-only,pending-publisher-review,Link only; copied release bodies excluded pending source-specific review
P02,54th Parliament bill publications,New Zealand Parliament,Parliament and law,https://www.parliament.nz/en/pb/bills-and-laws/bills-proposed-laws/,2026-09-19T19:12:17.178902Z,201,source body / document record=115;catalogue=86,2026-09-19T18:31:20.033Z,2026-09-19T18:31:20.033Z,See limitation; observation timestamps are not necessarily reference periods,metadata-and-links-only,pending-publisher-review,Four known retrieval gaps; proposed bill text is not enacted law
P03,Current bills index,New Zealand Parliament,Parliament and law,https://www.parliament.nz/en/pb/bills-and-laws/bills-proposed-laws/,2026-09-19T19:12:17.178902Z,101,normalised fact=101,2026-09-16T03:16:18.536Z,2026-09-19T01:21:42.353Z,See limitation; observation timestamps are not necessarily reference periods,metadata-and-links-only,pending-publisher-review,Current snapshot; not all historical legislation
P04,2023 general election candidate roster,Electoral Commission,Elections,https://elections.nz/democracy-in-nz/historical-events/2023-general-election/,2026-09-19T19:12:17.178902Z,486,normalised fact=486,2026-09-19T01:09:19.454Z,2026-09-19T01:09:19.454Z,2023 general election,metadata-and-links-only,pending-publisher-review,2023 only; do not infer 2026 candidate publication
P05,54th Parliament committee business,New Zealand Parliament,Parliament and law,https://www.parliament.nz/en/pb/sc/,2026-09-19T19:12:17.178902Z,123,normalised fact=123,2026-09-19T01:09:20.010Z,2026-09-19T01:09:23.906Z,See limitation; observation timestamps are not necessarily reference periods,metadata-and-links-only,pending-publisher-review,Current selected product; broader committee activity not enumerated
P06,54th Parliament select committee report bodies,New Zealand Parliament,Parliament and law,https://www.parliament.nz/en/pb/sc/reports/,2026-09-19T19:12:17.178902Z,1285,source body / document record=1285,2026-09-19T09:08:40.507Z,2026-09-19T11:50:31.743Z,See limitation; observation timestamps are not necessarily reference periods,metadata-and-links-only,pending-publisher-review,Copied report bodies excluded from this repository pending rights review
P07,54th Parliament select committee report index,New Zealand Parliament,Parliament and law,https://www.parliament.nz/en/pb/sc/reports/,2026-09-19T19:12:17.178902Z,1286,normalised fact=1286,2026-09-19T01:52:39.009Z,2026-09-19T01:53:49.820Z,See limitation; observation timestamps are not necessarily reference periods,metadata-and-links-only,pending-publisher-review,Current selected report index; not all committee materials
P08,2023 overall election results,Electoral Commission,Elections,https://electionresults.govt.nz/electionresults_2023/,2026-09-19T19:12:17.178902Z,18,normalised fact=17;aggregate=1,2026-09-19T09:22:27.000Z,2026-09-19T09:22:27.000Z,2023 general election,metadata-and-links-only,pending-publisher-review,2023 general election only
P09,2023 electorate election results,Electoral Commission,Elections,https://electionresults.govt.nz/electionresults_2023/,2026-09-19T19:12:17.178902Z,1791,aggregate=72;normalised fact=1719,2026-09-19T09:44:19.000Z,2026-09-19T09:46:49.000Z,2023 general election,metadata-and-links-only,pending-publisher-review,2023 general election only; geography/version alignment required
P10,Current members of Parliament,New Zealand Parliament,Parliament and law,https://www3.parliament.nz/en/mps-and-electorates/members-of-parliament,2026-09-19T19:12:17.178902Z,122,normalised fact=122,2026-09-19T01:17:34.224Z,2026-09-19T01:17:34.224Z,See limitation; observation timestamps are not necessarily reference periods,metadata-and-links-only,pending-publisher-review,Current snapshot; membership changes over time
P11,Health New Zealand data catalogue sample,Health New Zealand,Social outcomes,https://www.tewhatuora.govt.nz/for-health-professionals/data-and-statistics/,2026-09-19T19:12:17.178902Z,93,normalised fact=44;catalogue=26;catalogue metadata=23,2026-09-15T19:03:59.219Z,2026-09-16T03:36:15.650Z,See limitation; observation timestamps are not necessarily reference periods,metadata-and-links-only,pending-publisher-review,Mixed facts and catalogue metadata; incomplete denominator
P12,MSD benefits and hardship statistics sample,Ministry of Social Development,Social outcomes,https://www.msd.govt.nz/about-msd-and-our-work/publications-resources/statistics/,2026-09-19T19:12:17.178902Z,929,catalogue=26;normalised fact=903,2026-09-15T19:03:55.040Z,2026-09-16T03:16:38.542Z,See limitation; observation timestamps are not necessarily reference periods,metadata-and-links-only,pending-publisher-review,Selected measures only; release denominator not independently certified
P13,Registered-party policy page catalogue,Registered New Zealand political parties,Elections,https://elections.nz/democracy-in-nz/political-parties-in-new-zealand/register-of-political-parties/,2026-09-19T19:12:17.178902Z,17,catalogue=17,2026-09-19T18:38:43.204Z,2026-09-19T18:38:55.582Z,Observed at snapshot date,metadata-and-links-only,pending-publisher-review,"17 substantive policy URLs, not 17 manifestos. Historical preliminary model-assisted classification: 2 manifestos, 4 collections, 2 platforms and 9 hubs. Model name/version unknown; schema/prompt unavailable; confidence unavailable; not yet checked against human review. Treat labels as unreviewed, not verified findings."
P14,Recent party-vote polls sample,Multiple poll publishers,Elections,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_New_Zealand_general_election,2026-09-19T19:12:17.178902Z,12,normalised fact=12,2026-09-19T18:38:55.645Z,2026-09-19T18:38:55.645Z,90-day sample ending 2026-09-19,metadata-and-links-only,pending-publisher-review,Twelve records; methodology/sponsor disclosure verified for 9 and unresolved for 3; aggregator is not a primary publisher
P15,2023 candidate expense-return document index,Electoral Commission,Political finance,https://elections.nz/democracy-in-nz/candidates/candidate-expenses-and-donations/,2026-09-19T19:12:17.178902Z,492,official document record=492,2026-09-19T17:51:54.739Z,2026-09-19T18:11:42.663Z,2023 candidate returns,metadata-and-links-only,pending-publisher-review,492 document records: 268 embedded-text and 224 image-only; no PDFs or personal street-address fields included
P16,2025 party finance aggregate index,Electoral Commission,Political finance,https://elections.nz/democracy-in-nz/political-parties-in-new-zealand/party-donations-and-loans-by-year/,2026-09-19T19:12:17.178902Z,14,official aggregate=14,2026-09-19T16:28:18.983Z,2026-09-19T16:28:18.983Z,2025 party returns,metadata-and-links-only,pending-publisher-review,Aggregate product; do not infer donor-level relationships
P17,2025 party finance return document index,Electoral Commission,Political finance,https://elections.nz/democracy-in-nz/political-parties-in-new-zealand/party-donations-and-loans-by-year/,2026-09-19T19:12:17.178902Z,17,official document record=17,2026-09-19T16:58:58.118Z,2026-09-19T17:15:27.000Z,2025 party returns,metadata-and-links-only,pending-publisher-review,17 originals observed; six needed bounded vision review across 80 pages; not full OCR
P18,Reserve Bank statistics catalogue,Reserve Bank of New Zealand,Economy,https://www.rbnz.govt.nz/statistics,2026-09-19T19:12:17.178902Z,18,catalogue=18,2026-09-19T01:19:41.413Z,2026-09-19T01:19:41.413Z,See limitation; observation timestamps are not necessarily reference periods,metadata-and-links-only,pending-publisher-review,"Catalogue entries only, not time-series observations"
P19,2018 Census national highlights sample,Stats NZ,Population,https://www.stats.govt.nz/2018-census/,2026-09-19T19:12:17.178902Z,877,normalised fact=877,2026-09-15T19:06:45.000Z,2026-09-15T19:06:45.000Z,2018 Census selected highlights,metadata-and-links-only,pending-publisher-review,Selected national highlights; not a full Census product inventory
P20,Stats NZ CSV catalogue sample,Stats NZ,Economy,https://www.stats.govt.nz/large-datasets/csv-files-for-download/,2026-09-19T19:12:17.178902Z,128,catalogue metadata=128,2026-09-15T19:06:42.000Z,2026-09-18T01:08:53.000Z,See limitation; observation timestamps are not necessarily reference periods,metadata-and-links-only,pending-publisher-review,Catalogue metadata only; selected snapshot
